index,name,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
723,Lake Of Fire,Nirvana,1994,2.932883333,66,0.541,0.277,0.541,0.618,4.02E-05,1,0.413,-9.652,0.179,145.464,4,0.68
724,Head Like A Hole,Nine Inch Nails,1989,4.994,61,0.663,0.00787,0.663,0.792,0.00183,9,0.582,-11.255,0.0456,115.386,4,0.443
725,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,1986,4.076433333,74,0.523,0.04,0.523,0.769,0,4,0.136,-5.855,0.0269,136.162,4,0.876
726,Cortez the Killer,The Crazy Horses,2013,5.97155,0,0.551,0.000649,0.551,0.591,0.00017,4,0.117,-5.752,0.0287,120.147,4,0.489
727,Peace of Mind,Boston,1976,5.059766667,69,0.421,0.000989,0.421,0.677,9.65E-05,4,0.211,-6.183,0.0343,127.67,4,0.683
728,Welcome to the Machine,Pink Floyd,1975,7.528,61,0.382,0.52,0.382,0.36,0.171,0,0.0747,-12.442,0.0365,133.273,4,0.0362
729,Glory Days,Bruce Springsteen,1984,4.24555,69,0.574,0.0457,0.574,0.96,0,9,0.121,-4.906,0.032,117.486,4,0.978
730,Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,1985,5.014,58,0.625,0.659,0.625,0.533,0.00266,10,0.0546,-11.903,0.0596,108.296,4,0.139
731,New Divide,Various Artists,2009,4.476883333,69,0.493,0.000235,0.493,0.808,0,5,0.0983,-3.365,0.0362,117.971,4,0.38
732,Not Fade Away,Buddy Holly,1974,2.361766667,18,0.808,0.718,0.808,0.421,0,9,0.137,-14.516,0.0424,96.216,4,0.882
733,Bo Diddley,Bo Diddley,1958,2.48355,51,0.809,0.176,0.809,0.701,0,0,0.184,-12.484,0.0574,105.696,4,0.563
734,96 Tears,Various Artists,1964,2.9571,42,0.681,0.0589,0.681,0.499,6.39E-06,7,0.0743,-6.894,0.034,123.458,4,0.841
735,Rock 'n' Roll Fantasy - 2009 Remaster,Bad Company,1979,3.2911,55,0.606,0.0261,0.606,0.716,5.82E-06,2,0.13,-5.47,0.0285,112.299,4,0.868
736,Hemorrhage (In My Hands),Fuel,2000,3.947766667,49,0.313,0.000127,0.313,0.831,0.000341,1,0.24,-3.894,0.0404,152.034,4,0.332
737,These Days,Foo Fighters,2011,4.9711,64,0.531,0.000261,0.531,0.664,0,2,0.205,-4.428,0.0304,135.3,4,0.215
738,Mystery Train,Elvis Presley,1959,2.415766667,52,0.699,0.587,0.699,0.514,0.029,4,0.22,-12.61,0.0315,120.758,4,0.63
739,Desolation Row,Bob Dylan,1965,11.35666667,50,0.432,0.673,0.432,0.605,0,4,0.129,-6.941,0.0306,109.227,4,0.647
740,You Spin Me Round (Like a Record),Dead Or Alive,1985,3.327766667,73,0.567,0.0308,0.567,0.943,0.0966,6,0.544,-7.992,0.0387,128.207,4,0.965
741,Angels,Robbie Williams,1997,4.416666667,73,0.429,0.156,0.429,0.594,4.95E-06,4,0.1,-6.251,0.0277,150.22,4,0.236
742,Breed,Nirvana,1991,3.067333333,59,0.262,3.69E-06,0.262,0.969,0.00213,4,0.133,-4.675,0.0894,158.433,4,0.263
743,Slow Ride,Foghat,1975,3.87555,66,0.493,0.0202,0.493,0.586,0.00106,2,0.102,-13.916,0.046,113.618,4,0.656
744,Don't You Want Me,The Human League,1981,3.948666667,74,0.731,0.184,0.731,0.738,0,9,0.214,-8.125,0.0377,117.656,4,0.958
745,Walk Like an Egyptian,The Bangles,2004,3.411766667,64,0.724,0.00344,0.724,0.891,4.66E-05,11,0.3,-7.818,0.0995,103.022,4,0.819
746,Try a Little Tenderness,Otis Redding,1966,3.362216667,64,0.587,0.186,0.587,0.133,2.26E-05,9,0.258,-15.151,0.0565,102.938,4,0.068
747,Levon,Elton John,1971,5.368883333,55,0.305,0.15,0.305,0.594,0.000303,5,0.39,-10.499,0.0447,145.77,4,0.426
748,Testify,Rage Against The Machine,1999,3.502216667,67,0.47,0.0261,0.47,0.978,1.09E-05,7,0.356,-5.399,0.0727,117.906,4,0.503
749,Heartbreak Hotel,Elvis Presley,1958,2.126,61,0.696,0.84,0.696,0.21,1.62E-06,4,0.107,-11.922,0.067,93.543,4,0.717
750,Crazy - Single Version,Patsy Cline,1961,2.742883333,66,0.471,0.931,0.471,0.021,1.19E-06,10,0.103,-24.385,0.0366,107.765,3,0.356
751,Synchronicity II,The Police,1983,5.007766667,55,0.414,0.0675,0.414,0.851,0.0047,2,0.333,-8.714,0.0413,158.907,4,0.567
752,Run To You,Bryan Adams,1984,3.887833333,65,0.561,0.00515,0.561,0.811,3.60E-05,4,0.287,-6.157,0.0265,126.593,4,0.635
753,Whip It,DEVO,1980,2.68555,65,0.78,0.0744,0.78,0.869,0.004,9,0.0621,-7.255,0.0517,157.902,4,0.957
754,Houses of the Holy - Rough Mix with Overdubs,Led Zeppelin,1975,3.8631,50,0.605,0.467,0.605,0.691,0.742,9,0.441,-10.57,0.0337,123.288,4,0.965
755,Runaway,Del Shannon,1961,2.288433333,61,0.594,0.153,0.594,0.533,1.49E-05,10,0.172,-7.993,0.0438,78.552,4,0.729
756,Vasoline - 2019 Remaster,Stone Temple Pilots,1994,2.942433333,62,0.295,0.00147,0.295,0.977,0.000187,10,0.0887,-7.086,0.088,168.672,4,0.353
757,Badge,Cream,1969,2.7451,51,0.596,0.449,0.596,0.575,0.000104,4,0.0839,-14.254,0.04,107.573,4,0.745
758,The Times They Are A-Changin',Bob Dylan,1964,3.200883333,69,0.389,0.887,0.389,0.396,0,7,0.0828,-7.999,0.0332,171.86,3,0.585
759,Alison,Elvis Costello,1977,3.408883333,59,0.557,0.739,0.557,0.32,3.99E-05,1,0.112,-10.792,0.0438,176.647,4,0.377
760,Ghost Town,The Specials,2000,3.6551,63,0.665,0.0492,0.665,0.766,0.338,10,0.113,-9.454,0.0505,73.683,4,0.905
761,Closer To The Heart,Rush,1977,2.866,58,0.373,0.115,0.373,0.809,1.94E-06,2,0.653,-9.189,0.0744,145.045,1,0.539
762,I'm Not In Love,10cc,1975,6.110666667,70,0.404,0.685,0.404,0.523,0.000498,4,0.282,-15.7,0.0575,133.738,4,0.164
763,My Best Friend's Girl,The Cars,1978,3.720883333,65,0.799,0.0811,0.799,0.608,0.0137,5,0.102,-8.193,0.0411,121.915,4,0.963
764,Summertime Blues,Eddie Cochran,1960,1.989333333,63,0.714,0.116,0.714,0.886,0.184,11,0.18,-8.629,0.0554,156.351,4,0.954
765,Positively 4th Street - Single Version,Bob Dylan,2014,4.1311,53,0.556,0.817,0.556,0.463,0,6,0.116,-10.79,0.0268,109.586,4,0.764
766,Fire Woman,The Cult,1989,5.183766667,60,0.495,0.000272,0.495,0.798,0.000922,7,0.234,-9.173,0.0387,132.007,4,0.461
767,I Wanna Rock,Twisted Sister,1984,2.996,70,0.504,0.00512,0.504,0.911,0.0123,2,0.355,-2.97,0.0738,106.244,4,0.671
768,Sex & Candy,Marcy Playground,1997,2.89155,67,0.67,0.238,0.67,0.558,0,2,0.106,-9.159,0.0251,80.511,4,0.63
769,Burden In My Hand,Soundgarden,1996,4.8351,61,0.319,0.00534,0.319,0.803,0.0126,10,0.177,-8.928,0.0394,183.031,4,0.589
770,Dr. Feelgood,Mötley Crüe,1989,4.836433333,69,0.53,0.000837,0.53,0.952,0.0119,2,0.262,-5.105,0.0577,110.98,4,0.433
771,Higher Ground - Remastered,Red Hot Chili Peppers,1989,3.36755,66,0.476,0.0014,0.476,0.979,0.00729,4,0.0944,-3.506,0.132,140.404,4,0.416
772,Southern Man,Neil Young,1970,5.51955,54,0.373,0.392,0.373,0.571,0.0476,7,0.126,-9.186,0.0334,161.874,3,0.656
773,Rise Above This,Seether,2013,3.413683333,40,0.515,0.0109,0.515,0.833,1.07E-06,1,0.0741,-3.014,0.0328,120.005,4,0.254
774,Rosalita (Come Out Tonight),Bruce Springsteen,1973,7.014,54,0.283,0.0305,0.283,0.938,0.000159,5,0.25,-5.664,0.0807,154.235,4,0.741
775,You're My Best Friend - Remastered 2011,Queen,1975,2.846666667,60,0.518,0.158,0.518,0.761,0.00765,0,0.0715,-7.025,0.0452,118.738,4,0.576
776,"I Feel Love - 12"" Version",Donna Summer,1979,8.2531,0,0.681,0.079,0.681,0.81,0.64,5,0.0934,-14.046,0.04,128.129,4,0.961
777,Good Times Bad Times - 1993 Remaster,Led Zeppelin,1969,2.7711,69,0.476,0.0382,0.476,0.717,7.61E-05,9,0.0818,-9.192,0.0949,93.584,4,0.753
778,Dancing In The Street - Stereo,Martha Reeves & The Vandellas,1965,2.753766667,68,0.556,0.0118,0.556,0.57,0.000526,2,0.198,-9.472,0.0393,126.01,4,0.304
779,Fast Car,Tracy Chapman,1988,4.946666667,78,0.711,0.313,0.711,0.292,0,4,0.131,-15.523,0.037,103.951,4,0.194
780,Can't Find My Way Home,Blind Faith,1969,3.268883333,58,0.519,0.887,0.519,0.337,0.0113,2,0.13,-15.215,0.0333,87.926,4,0.523
781,"Mama, I'm Coming Home",Ozzy Osbourne,1991,4.197766667,69,0.282,0.0105,0.282,0.656,0,8,0.0892,-6.557,0.0302,139.352,4,0.242
782,Dude (Looks Like A Lady),Aerosmith,1987,4.42955,71,0.54,0.435,0.54,0.982,3.37E-05,4,0.0457,-2.962,0.0458,126.294,4,0.91
783,Teenage Kicks,The Undertones,1979,2.474666667,60,0.415,0.0011,0.415,0.782,0,2,0.14,-6.745,0.0461,135.029,4,0.564
784,The Night They Drove Old Dixie Down - Remastered 2000,The Band,1969,3.554433333,43,0.507,0.453,0.507,0.493,0,0,0.241,-8.786,0.0327,127.671,4,0.467
785,I Can't Dance - 2007 Remaster,Genesis,1991,4.022666667,54,0.914,0.499,0.914,0.528,4.38E-06,3,0.0454,-9.114,0.0508,107.557,4,0.898
786,When a Man Loves a Woman,Percy Sledge,1966,2.897766667,67,0.516,0.13,0.516,0.15,0.0755,1,0.122,-20.41,0.0272,97.398,3,0.206
787,Zero - Remastered 2012,The Smashing Pumpkins,1995,2.66955,63,0.438,3.49E-05,0.438,0.728,0.57,8,0.0509,-7.105,0.0458,128.04,4,0.701
788,Wuthering Heights,Kate Bush,1978,4.484433333,70,0.481,0.366,0.481,0.392,0.0452,1,0.124,-11.381,0.0312,124.572,4,0.52
789,Please Please Me - Remastered 2009,The Beatles,1963,2.014216667,61,0.527,0.334,0.527,0.48,0,4,0.0702,-9.61,0.028,139.388,4,0.706
790,That's Entertainment,The Jam,1980,3.546433333,61,0.567,0.211,0.567,0.653,0.000489,0,0.0639,-11.524,0.0336,142.218,4,0.78
791,Weather With You,Crowded House,1991,3.7411,70,0.643,0.25,0.643,0.614,7.17E-06,2,0.214,-12.878,0.0279,93.982,4,0.891
792,Minority,Green Day,2000,2.803766667,60,0.551,0.00576,0.551,0.965,0,0,0.171,-2.772,0.0452,137.841,4,0.708
793,Son Of A Preacher Man,Dusty Springfield,1969,2.46755,72,0.404,0.538,0.404,0.43,0,4,0.0802,-12.327,0.224,180.061,4,0.641
794,Two Princes,Spin Doctors,1991,4.278883333,70,0.543,0.00162,0.543,0.912,2.10E-06,7,0.0565,-10.71,0.0601,103.731,4,0.836
795,The Long And Winding Road - Remastered 2009,The Beatles,1970,3.636433333,63,0.299,0.756,0.299,0.329,0.0105,3,0.0559,-10.096,0.0279,132.282,4,0.392
796,Roll Over Beethoven,Chuck Berry,1959,2.41,0,0.707,0.83,0.707,0.78,0,3,0.199,-10.142,0.235,92.653,4,0.808
797,I Will Survive - Single Version,Gloria Gaynor,2000,3.3011,71,0.777,0.0131,0.777,0.725,0.00805,0,0.246,-8.681,0.05,116.669,4,0.529
798,Brother Down,Sam Roberts Band,2003,4.405766667,31,0.556,0.292,0.556,0.932,0.000364,0,0.557,-3.947,0.032,98.549,4,0.865
799,Renegade,Styx,1978,4.2871,69,0.492,0.0151,0.492,0.552,3.74E-05,7,0.0723,-12.321,0.0341,105.623,4,0.655
800,Gone Away,The Offspring,1997,4.480433333,65,0.45,0.012,0.45,0.945,0.00687,3,0.0683,-3.995,0.0806,111.342,4,0.294
801,Wicked Game,Chris Isaak,2006,4.781333333,70,0.667,0.744,0.667,0.548,0.0122,9,0.0946,-7.802,0.0262,112.549,4,0.29
802,Stay With Me,Faces,1971,4.656,65,0.458,0.0969,0.458,0.869,0.0596,9,0.357,-8.381,0.032,91.39,4,0.813
803,Relax,Frankie Goes To Hollywood,1984,3.946666667,71,0.676,0.326,0.676,0.695,1.09E-05,11,0.0462,-13.395,0.0392,114.93,4,0.691
804,New World Man,Rush,1982,3.705333333,46,0.522,0.185,0.522,0.812,0.182,2,0.0878,-9.651,0.0383,157.912,4,0.864
805,You Get What You Give,New Radicals,1998,5.012883333,73,0.621,0.17,0.621,0.901,0,2,0.0875,-5.396,0.0302,113.967,4,0.744
806,"Baby, I Love Your Way",Peter Frampton,2016,5.162666667,53,0.749,0.614,0.749,0.246,0.000138,0,0.0967,-12.847,0.0383,132.153,4,0.308
807,Breakout,Foo Fighters,1999,3.346666667,60,0.421,5.18E-05,0.421,0.938,0.00291,11,0.124,-4.212,0.0522,156.794,4,0.427
808,I Saw Her Standing There - Remastered 2009,The Beatles,1963,2.8991,68,0.491,0.27,0.491,0.801,0,4,0.0665,-9.835,0.0361,160.109,4,0.971
809,Snow (Hey Oh),Red Hot Chili Peppers,2006,5.577766667,79,0.427,0.116,0.427,0.9,1.75E-05,11,0.119,-3.674,0.0499,104.655,4,0.599
810,Where Is My Mind?,Pixies,1988,3.94955,77,0.518,0.0157,0.518,0.436,0.000621,4,0.079,-14.134,0.0349,80.88,4,0.27
811,Doesn't Remind Me,Audioslave,2005,4.25,65,0.457,0.169,0.457,0.768,0,9,0.103,-3.592,0.0378,99.739,4,0.232
812,"Shake, Rattle and Roll",Big Joe Turner,2007,2.993766667,46,0.612,0.788,0.612,0.584,3.13E-06,8,0.193,-6.296,0.0623,154.704,4,0.845
813,Stranglehold,Ted Nugent,1975,8.384433333,69,0.484,0.0183,0.484,0.711,0.173,2,0.0941,-7.784,0.0331,148.189,4,0.49
814,Blue Suede Shoes,Carl Perkins,1957,2.24075,55,0.548,0.448,0.548,0.675,8.53E-05,4,0.297,-7.318,0.0364,168.891,4,0.965
815,Ain't No Rest for the Wicked,Cage The Elephant,2009,2.924883333,74,0.634,0.0438,0.634,0.849,0,0,0.363,-7.075,0.105,156.004,4,0.919
816,Shattered - Remastered,The Rolling Stones,1978,3.78,53,0.738,0.415,0.738,0.952,2.20E-05,4,0.116,-2.752,0.147,140.395,4,0.748
817,Bodies,Drowning Pool,2001,3.366,73,0.656,0.00347,0.656,0.932,0.00147,4,0.144,-3.405,0.0708,130.936,4,0.544
818,Animal (Remastered),Pearl Jam,1993,2.792,54,0.493,7.52E-05,0.493,0.955,3.11E-06,7,0.0495,-4.985,0.0628,106.088,4,0.473
819,That's All Right,Elvis Presley,1959,1.921333333,49,0.655,0.808,0.655,0.405,1.33E-06,2,0.116,-9.825,0.036,105.272,4,0.696
820,Crocodile Rock,Elton John,1973,3.924,71,0.621,0.0263,0.621,0.8,1.51E-05,4,0.0591,-7.284,0.0344,149.91,4,0.968
821,Goodbye Stranger - 2010 Remastered,Supertramp,1979,5.842883333,66,0.42,0.607,0.42,0.668,0.016,1,0.0585,-7.35,0.0517,125.391,4,0.338
822,Turn The Page,Metallica,1998,6.107766667,64,0.426,1.94E-05,0.426,0.813,0.022,8,0.0937,-3.963,0.0318,149.013,4,0.228
823,Outside,Staind,2001,4.88555,59,0.515,0.00844,0.515,0.594,0.00658,1,0.0752,-4.708,0.0262,146.564,4,0.218
824,I Am the Resurrection - Remastered,The Stone Roses,1989,8.215766667,57,0.356,0.00192,0.356,0.866,0.113,4,0.0815,-6.324,0.0411,129.743,4,0.723
825,The Unforgiven II,Metallica,1997,6.607333333,56,0.49,0.000514,0.49,0.884,0.00177,8,0.27,-4.533,0.0428,132.978,4,0.254
826,Teen Age Riot (Album Version),Sonic Youth,1988,6.963333333,64,0.286,0.000277,0.286,0.907,0.202,7,0.0837,-9.67,0.0374,156.395,4,0.746
827,Devils Haircut,Beck,1996,3.21555,51,0.686,0.175,0.686,0.729,0.000833,7,0.137,-4.848,0.0298,123.546,4,0.79
828,Shadow of the Day,Linkin Park,2007,4.839333333,66,0.534,0.00479,0.534,0.393,0.0107,11,0.107,-7.813,0.0292,110.007,4,0.0641
829,Pepper,Butthole Surfers,1996,4.954433333,65,0.631,0.00589,0.631,0.804,0.00116,7,0.16,-5.492,0.166,79.898,4,0.671
830,Dance the Night Away - 2015 Remaster,Van Halen,1979,3.134716667,64,0.548,0.0373,0.548,0.843,1.26E-06,8,0.0536,-7.32,0.0597,129.661,4,0.719
831,Hollywood Nights,Bob Seger,1978,5.043766667,61,0.529,0.00506,0.529,0.968,0.00034,9,0.201,-5.198,0.0503,150.326,4,0.751
832,Detroit Rock City,KISS,1978,3.598883333,69,0.546,0.0421,0.546,0.9,4.57E-05,5,0.292,-6.728,0.0691,90.591,4,0.447
833,Desperado - 2013 Remaster,Eagles,1973,3.561866667,68,0.228,0.946,0.228,0.224,0.000222,7,0.273,-12.749,0.0311,60.3,4,0.18
834,Cemetery Gates,Pantera,1990,7.048883333,66,0.274,0.000212,0.274,0.726,0.0113,9,0.0993,-11.541,0.0449,146.449,4,0.426
835,Fall to Pieces,Velvet Revolver,2004,4.520666667,63,0.464,0.000429,0.464,0.887,0.333,6,0.126,-4.65,0.0499,132.759,4,0.23
836,Ain't That A Shame,Fats Domino,1959,2.536666667,58,0.486,0.767,0.486,0.501,7.60E-05,4,0.0679,-8.57,0.0326,122.894,4,0.942
837,She's Not There,The Zombies,1965,2.42155,63,0.523,0.579,0.523,0.803,0,4,0.0948,-5.189,0.045,132.316,4,0.898
838,Gotta Get Away,The Offspring,2005,3.863766667,56,0.528,0.000867,0.528,0.867,0.000139,4,0.0962,-4.298,0.0616,132.758,4,0.607
839,Waiting Room,Fugazi,1989,2.887766667,64,0.616,0.00401,0.616,0.727,0.86,1,0.157,-8.176,0.0365,92.259,4,0.54
840,Let's Go - Live,The Cars,2020,3.599533333,8,0.275,0.0301,0.275,0.846,0.639,2,0.964,-12.788,0.0613,136.759,4,0.327
841,There She Goes,The La's,1990,2.7031,68,0.533,0.013,0.533,0.761,0.829,7,0.207,-10.632,0.0298,122.777,4,0.917
842,Leader Of The Pack,The Shangri-Las,1996,2.85555,53,0.423,0.708,0.423,0.55,0,0,0.682,-8.738,0.0975,119.702,4,0.313
843,Don't Dream It's Over,Crowded House,1986,3.948883333,72,0.439,0.0148,0.439,0.422,4.84E-05,8,0.0697,-17.227,0.0409,81.833,4,0.551
844,Prince Ali,Various Artists,2019,3.494433333,65,0.409,0.0574,0.409,0.765,0,10,0.0922,-5.674,0.104,97.383,4,0.365
845,Eminence Front,The Who,1982,5.670666667,54,0.694,0.222,0.694,0.788,0.554,5,0.0372,-9.679,0.0299,98.089,4,0.569
846,"(What's So Funny 'Bout) Peace, Love And Understanding",Elvis Costello & The Attractions,1979,3.539766667,51,0.375,0.00118,0.375,0.948,0.00818,7,0.408,-7.029,0.0709,141.629,4,0.482
847,(Oh) Pretty Woman - 2015 Remaster,Van Halen,1982,2.877833333,58,0.441,0.192,0.441,0.97,1.68E-06,1,0.312,-2.1,0.0708,128.289,4,0.5
848,After Midnight,Eric Clapton,1970,2.850216667,44,0.617,0.0985,0.617,0.664,0,0,0.203,-11.701,0.0345,127.021,4,0.931
849,Don't Look Back In Anger - Remastered,Oasis,1995,4.825983333,32,0.333,0.0596,0.333,0.922,2.05E-06,0,0.126,-4.087,0.0592,162.978,4,0.335
850,Blueberry Hill - Remastered 2002,Fats Domino,2007,2.390666667,54,0.479,0.849,0.479,0.506,2.69E-05,11,0.25,-8.175,0.0272,136.662,3,0.83
851,Why Do Fools Fall in Love,Frankie Lymon & The Teenagers,2005,2.327766667,56,0.388,0.51,0.388,0.532,3.06E-06,1,0.0974,-8.685,0.102,173.586,4,0.845
852,Come Sail Away,Styx,1977,6.116666667,67,0.324,0.099,0.324,0.335,1.08E-06,0,0.0995,-15.595,0.0355,119.513,4,0.141
853,Rocks,Primal Scream,1994,3.602666667,60,0.618,0.000247,0.618,0.855,0.00284,7,0.0318,-4.164,0.0376,127.671,4,0.935
854,Search & Destroy - Detroit Rehearsals Spring 1973,The Stooges,2010,3.834666667,39,0.269,0.692,0.269,0.684,0.827,7,0.154,-13.203,0.0589,155.482,4,0.53
855,Animal I Have Become,Three Days Grace,2006,3.856666667,72,0.553,0.000684,0.553,0.853,0,8,0.126,-3.668,0.0339,122.023,4,0.506
856,I'm Your Captain/Closer To Home - Remastered,Grand Funk Railroad,1999,9.992666667,53,0.339,0.0497,0.339,0.583,0.00108,7,0.165,-8.582,0.0338,101.449,4,0.379
857,Brain Stew - Jaded,Molotov Cocktail Piano,2016,4.72615,5,0.335,0.971,0.335,0.133,0.901,1,0.0926,-20.845,0.0919,75.983,4,0.263
858,I Saw the Light - 2015 Remaster,Todd Rundgren,1972,3.004666667,63,0.504,0.214,0.504,0.673,2.29E-06,0,0.171,-11.834,0.0336,120.418,4,0.581
859,Candle In The Wind - Remastered 2014,Elton John,1973,3.815533333,66,0.602,0.183,0.602,0.536,1.90E-05,4,0.0802,-9.74,0.0288,124.558,4,0.506
860,People Are Strange,The Doors,1967,2.16955,71,0.699,0.685,0.699,0.467,0,4,0.315,-8.578,0.0375,119.287,4,0.764
861,Walk,Foo Fighters,2011,4.266,69,0.234,3.62E-05,0.234,0.865,0.000532,9,0.289,-5.131,0.0516,137.107,4,0.194
862,Small Town,John Mellencamp,1985,3.693766667,65,0.659,0.155,0.659,0.919,0.0054,11,0.312,-2.658,0.0333,123.135,4,0.631
863,Let It Die,Foo Fighters,2007,4.082666667,58,0.596,0.027,0.596,0.557,1.64E-05,0,0.0914,-6.401,0.0299,124.023,4,0.314
864,Lump,The Presidents Of The United States Of America,1995,2.236666667,68,0.499,0.00468,0.499,0.873,0,6,0.165,-3.902,0.0386,142.726,4,0.864
865,Khe Sanh - 2011 Remastered,Cold Chisel,1978,4.234083333,64,0.474,0.129,0.474,0.918,0,7,0.238,-4.21,0.177,164.049,4,0.655
866,Let Me Hear You Scream,Ozzy Osbourne,2010,3.43,53,0.492,0.000367,0.492,0.979,0,0,0.953,-2.315,0.0888,130.005,4,0.315
867,September Gurls,Big Star,1992,2.8011,33,0.373,0.000199,0.373,0.85,0.0077,4,0.124,-4.567,0.0342,114.029,4,0.629
868,Bad Company,Bad Company,2010,5.802666667,0,0.293,0.162,0.293,0.85,0.00632,8,0.957,-7.567,0.0446,113.007,4,0.269
869,Remedy,Seether,2005,3.45355,69,0.55,0.000193,0.55,0.952,0.000666,8,0.0614,-4.664,0.0924,127.804,4,0.391
870,Bye Bye Love,The Everly Brothers,1964,2.381766667,61,0.547,0.724,0.547,0.523,0,9,0.103,-9.176,0.0572,169.598,4,0.89
871,Kids,MGMT,2007,5.047333333,78,0.451,0.00076,0.451,0.931,0.0049,9,0.361,-3.871,0.0719,122.961,4,0.172
872,I Am The Walrus - Remastered 2009,The Beatles,1967,4.597766667,64,0.401,0.0828,0.401,0.556,0.000359,2,0.589,-10.532,0.0513,85.206,4,0.654
873,Lazy Eye,Silversun Pickups,2006,5.906,66,0.633,0.0401,0.633,0.831,0.693,4,0.117,-5.053,0.0461,127.397,4,0.243
874,Through Glass,Stone Sour,2006,4.715766667,72,0.545,0.0417,0.545,0.753,0,3,0.389,-4.618,0.036,105.754,4,0.434
875,Just Like a Woman,Bob Dylan,1966,4.8411,52,0.564,0.773,0.564,0.441,0,4,0.351,-9.902,0.0437,115.174,4,0.469
876,Mountain Song,Jane's Addiction,1988,4.045333333,61,0.324,0.0155,0.324,0.931,0.0252,9,0.277,-6.803,0.0837,82.748,4,0.313
877,Trampled Under Foot - 1990 Remaster,Led Zeppelin,1975,5.5911,56,0.55,0.163,0.55,0.835,0.179,7,0.0864,-8.632,0.0487,111.25,4,0.808
878,Dear Mr. Fantasy,Traffic,1967,5.566666667,60,0.24,0.171,0.24,0.615,0.0125,2,0.0801,-14.117,0.0677,166.657,4,0.768
879,Tomorrow,Silverchair,1995,4.438,64,0.292,0.000658,0.292,0.714,0.000109,2,0.102,-4.919,0.0316,151.412,3,0.462
880,Pork And Beans,Weezer,2008,3.156666667,47,0.599,0.0108,0.599,0.626,8.80E-06,6,0.158,-6.622,0.0339,119.837,4,0.708
881,Rebellion (Lies),Arcade Fire,2004,5.18155,65,0.401,0.00744,0.401,0.933,0.627,8,0.318,-5.682,0.0344,127.193,4,0.734
882,Life During Wartime - 2005 Remaster,Talking Heads,1979,3.688666667,50,0.801,0.0806,0.801,0.93,0.152,9,0.0558,-7.365,0.0354,133.255,4,0.967
883,Rock'n Me,Various Artists,2020,3.117766667,12,0.695,0.299,0.695,0.582,0,4,0.123,-11.35,0.0651,122.433,4,0.892
884,Jamie's Cryin' - 2015 Remaster,Van Halen,1978,3.4931,60,0.556,0.097,0.556,0.931,0.00182,8,0.231,-6.125,0.0429,128.001,4,0.7
885,Breakdown,Tom Petty and the Heartbreakers,1976,2.73155,64,0.625,0.398,0.625,0.35,6.76E-05,9,0.123,-8.395,0.0436,113.688,4,0.69
886,I've Got a Woman,Ray Charles,1957,2.857766667,67,0.556,0.833,0.556,0.61,2.22E-06,9,0.258,-4.729,0.213,199.373,4,0.665
887,Anna Molly,Incubus,2006,3.764666667,59,0.451,0.00428,0.451,0.973,7.36E-06,8,0.0924,-2.611,0.0514,151.885,4,0.628
888,Break Stuff,Limp Bizkit,1999,2.778433333,73,0.432,0.0127,0.432,0.884,0.000527,8,0.166,-6.659,0.13,108.948,4,0.624
889,Need You Tonight,INXS,1987,3.018433333,68,0.795,0.0419,0.795,0.63,0.575,10,0.0894,-7.217,0.0841,108.701,4,0.785
890,Who Do You Love,Bo Diddley,1958,2.456216667,44,0.64,0.862,0.64,0.729,0,1,0.111,-13.494,0.0453,113.19,4,0.683
891,Unbelievable,EMF,1991,3.496883333,62,0.637,0.000341,0.637,0.849,0.0386,1,0.141,-6.855,0.0362,104.074,4,0.936
892,Waterloo,ABBA,1974,2.813766667,60,0.441,0.423,0.441,0.926,3.38E-06,2,0.235,-4.736,0.046,147.564,4,0.779
893,Perfect Situation,Weezer,2005,4.238883333,54,0.47,0.0271,0.47,0.806,0.000142,6,0.2,-4.1,0.0328,93.853,4,0.403
894,Maps,Yeah Yeah Yeahs,2003,3.666433333,66,0.502,0.000346,0.502,0.941,0.319,7,0.553,-5.194,0.0716,119.783,4,0.124
895,Rocket Queen,Guns N' Roses,1987,6.224433333,58,0.448,0.0219,0.448,0.945,0.246,10,0.0254,-7.978,0.0394,111.705,4,0.437
896,Heart Full of Soul,The Yardbirds,2002,2.464883333,55,0.494,0.229,0.494,0.666,5.69E-05,9,0.0469,-9.743,0.0351,140.832,4,0.699
897,I Fought the Law,The Clash,2013,2.720666667,63,0.525,0.00539,0.525,0.9,4.09E-05,2,0.14,-6.815,0.0545,151.274,4,0.883
898,My Own Prison,Creed,1997,4.98,62,0.505,0.0277,0.505,0.778,0.00275,10,0.115,-4.778,0.0398,140.493,4,0.284
899,Graceland,Paul Simon,1986,4.853333333,66,0.732,0.626,0.732,0.705,0.00068,9,0.0813,-9.271,0.0349,117.925,4,0.848
900,Rehab,Amy Winehouse,2006,3.562666667,68,0.434,0.0473,0.434,0.872,1.83E-06,0,0.396,-2.974,0.0702,71.515,4,0.732
901,Carry On,"Crosby, Stills, Nash & Young",1970,4.432216667,59,0.463,0.059,0.463,0.495,1.25E-06,1,0.271,-12.203,0.041,118.505,4,0.532
